season,player,runs,balls,fours,sixes,strike_rate
2016,DA Miller,161,139,11,4,115.83
2016,DA Warner,848,579,88,31,146.46
2016,DJ Bravo,99,88,11,1,112.5
2016,DJ Hooda,144,125,9,5,115.2
2016,DR Smith,324,226,35,16,143.36
2016,DS Kulkarni,27,16,3,0,168.75
2016,DW Steyn,1,2,0,0,50.0
2016,EJG Morgan,123,105,8,4,117.14
2016,ER Dwivedi,24,15,2,2,160.0
2016,F Behardien,14,13,2,0,107.69
2016,F du Plessis,206,169,17,9,121.89
2016,G Gambhir,501,424,54,6,118.16
2016,GJ Bailey,84,99,9,2,84.85
2016,GJ Maxwell,179,129,14,8,138.76
2016,Gurkeerat Singh,113,87,11,3,129.89
2016,HH Pandya,44,66,4,0,66.67
2016,HM Amla,157,122,20,4,128.69
2016,Harbhajan Singh,92,91,11,2,101.1
2016,IK Pathan,11,14,0,0,78.57
2016,Imran Tahir,5,7,1,0,71.43
2016,Iqbal Abdulla,37,27,4,1,137.04
2016,Ishan Kishan,42,41,5,0,102.44
2016,J Yadav,6,12,0,0,50.0
2016,JA Morkel,16,9,0,2,177.78
2016,JC Buttler,255,189,23,11,134.92
2016,JJ Bumrah,8,11,1,0,72.73
2016,JO Holder,22,20,2,1,110.0
2016,JP Duminy,191,157,13,3,121.66
2016,JP Faulkner,77,60,7,0,128.33
2016,KA Pollard,207,156,11,16,132.69
2016,KC Cariappa,13,11,0,1,118.18
2016,KD Karthik,335,273,38,3,122.71
2016,KH Pandya,237,127,22,13,186.61
2016,KJ Abbott,13,8,0,1,162.5
2016,KK Nair,357,304,40,6,117.43
2016,KL Rahul,397,277,37,16,143.32
2016,KM Jadhav,42,33,2,2,127.27
2016,KP Pietersen,73,61,4,3,119.67
2016,KS Williamson,124,126,14,0,98.41
2016,KV Sharma,36,34,3,1,105.88
2016,KW Richardson,1,1,0,0,100.0
2016,LMP Simmons,8,8,0,1,100.0
2016,M Ashwin,0,1,0,0,0.0
2016,M Morkel,1,1,0,0,100.0
2016,M Vijay,453,373,50,10,121.45
2016,M Vohra,161,136,19,3,118.38
2016,MA Agarwal,27,26,3,1,103.85
2016,MC Henriques,182,162,15,6,112.35
2016,MG Johnson,5,14,0,0,35.71
2016,MJ Guptill,57,55,3,3,103.64
2016,MJ McClenaghan,34,23,2,3,147.83
2016,MK Pandey,248,190,17,9,130.53
2016,MM Sharma,32,27,3,1,118.52
2016,MP Stoinis,146,111,13,4,131.53
2016,MR Marsh,7,11,0,0,63.64
2016,MS Dhoni,284,220,18,14,129.09
2016,Mohammed Shami,2,4,0,0,50.0
2016,N Rana,104,78,7,8,133.33
2016,NLTC Perera,150,97,7,11,154.64
2016,NM Coulter-Nile,9,14,1,0,64.29
2016,NS Naik,23,33,1,0,69.7
2016,NV Ojha,136,142,7,5,95.77
2016,P Kumar,24,27,3,0,88.89
2016,P Negi,57,63,2,3,90.48
2016,P Sahu,19,13,1,1,146.15
2016,PA Patel,177,161,23,4,109.94
2016,PP Chawla,27,26,4,0,103.85
2016,PSP Handscomb,6,12,0,0,50.0
2016,PV Tambe,7,19,1,0,36.84
2016,Parvez Rasool,10,9,1,0,111.11
2016,Q de Kock,445,340,52,13,130.88
2016,R Ashwin,41,38,3,1,107.89
2016,R Bhatia,34,20,1,2,170.0
2016,R Dhawan,14,6,0,1,233.33
2016,R Sathish,24,24,1,1,100.0
2016,R Vinay Kumar,13,12,0,1,108.33
2016,RA Jadeja,191,189,14,4,101.06
2016,RG Sharma,489,372,49,17,131.45
2016,RR Pant,198,155,19,6,127.74
2016,RV Uthappa,394,300,45,8,131.33
2016,S Dhawan,501,438,51,8,114.38
2016,S Gopal,2,16,0,0,12.5
2016,S Kaushik,0,1,0,0,0.0
2016,S Nadeem,1,5,0,0,20.0
2016,SA Yadav,182,148,18,5,122.97
2016,SB Jakati,1,2,0,0,50.0
2016,SE Marsh,159,134,13,4,118.66
2016,SK Raina,399,321,39,10,124.3
2016,SN Khan,66,31,7,4,212.9
2016,SP Narine,7,14,0,0,50.0
2016,SPD Smith,270,184,27,8,146.74
2016,SR Watson,179,135,14,12,132.59
2016,SS Iyer,30,46,2,1,65.22
2016,SS Tiwary,170,149,17,4,114.09
2016,STR Binny,63,41,5,4,153.66
2016,SV Samson,291,265,20,8,109.81
2016,SW Billings,88,66,4,4,133.33
2016,Sachin Baby,119,82,9,5,145.12
2016,Sandeep Sharma,8,9,0,0,88.89
2016,Shakib Al Hasan,114,108,7,5,105.56
2016,Swapnil Singh,0,1,0,0,0.0
2016,TG Southee,30,20,1,2,150.0
2016,TM Head,54,42,3,2,128.57
2016,UBT Chand,0,5,0,0,0.0
2016,UT Khawaja,127,105,14,3,120.95
2016,UT Yadav,9,6,0,1,150.0
2016,V Kohli,973,655,84,38,148.55
2016,WP Saha,270,214,29,1,126.17
2016,YK Pathan,361,256,33,13,141.02
2016,Yuvraj Singh,236,183,22,13,128.96
2016,Z Khan,6,13,1,0,46.15
2017,A Choudhary,25,20,1,1,125.0
2017,A Mishra,49,56,2,2,87.5
2017,A Zampa,5,7,1,0,71.43
2017,AB Dinda,7,8,1,0,87.5
2017,AB de Villiers,216,171,12,16,126.32
2017,AD Mathews,32,28,2,1,114.29
2017,AD Nath,0,1,0,0,0.0
2017,AF Milne,7,12,0,0,58.33
2017,AJ Finch,300,190,25,19,157.89
2017,AJ Tye,53,30,4,3,176.67
2017,AM Rahane,382,328,35,9,116.46
2017,AP Tare,18,25,3,0,72.0
2017,AR Bawne,12,12,1,0,100.0
2017,AR Patel,227,171,11,11,132.75
2017,AS Rajpoot,4,7,1,0,57.14
2017,AT Rayudu,91,80,7,3,113.75
2017,Ankit Sharma,25,16,2,1,156.25
2017,Ankit Soni,7,9,0,1,77.78
2017,Anureet Singh,15,12,2,0,125.0
2017,B Kumar,4,4,0,0,100.0
2017,BA Stokes,316,227,22,15,139.21
2017,BB McCullum,320,227,29,18,140.97
2017,BCJ Cutting,51,27,5,3,188.89
2017,Basil Thampi,28,30,1,1,93.33
2017,Bipul Sharma,31,25,2,1,124.0
2017,C de Grandhomme,126,92,10,6,136.96
2017,CA Lynn,295,175,25,19,168.57
2017,CH Gayle,200,172,15,14,116.28
2017,CH Morris,154,97,15,6,158.76
2017,CJ Anderson,142,130,8,9,109.23
2017,CJ Jordan,0,1,0,0,0.0
2017,CR Brathwaite,12,16,2,0,75.0
2017,CR Woakes,46,47,4,1,97.87
2017,DA Miller,83,82,4,4,101.22
2017,DA Warner,641,462,63,26,138.74
2017,DJ Hooda,78,53,5,4,147.17
2017,DL Chahar,14,6,0,2,233.33
2017,DM Bravo,6,5,1,0,120.0
2017,DR Smith,239,158,32,8,151.27
2017,DS Kulkarni,1,2,0,0,50.0
2017,DT Christian,79,52,5,5,151.92
2017,EJG Morgan,65,62,6,2,104.84
2017,F du Plessis,8,7,1,0,114.29
2017,G Gambhir,498,405,62,7,122.96
2017,GJ Maxwell,310,186,20,26,166.67
2017,HH Pandya,250,172,11,20,145.35
2017,HM Amla,420,296,40,17,141.89
2017,Harbhajan Singh,16,17,0,1,94.12
2017,I Sharma,8,13,1,0,61.54
2017,IK Pathan,2,3,0,0,66.67
2017,IR Jaggi,33,40,3,0,82.5
2017,Imran Tahir,0,2,0,0,0.0
2017,Iqbal Abdulla,5,7,0,0,71.43
2017,Ishan Kishan,277,214,29,13,129.44
2017,JC Buttler,273,186,27,15,146.77
2017,JD Unadkat,2,5,0,0,40.0
2017,JJ Bumrah,16,12,0,1,133.33
2017,JJ Roy,59,41,9,1,143.9
2017,JP Faulkner,54,60,4,0,90.0
2017,K Rabada,55,68,5,1,80.88
2017,KA Pollard,395,294,27,23,134.35
2017,KC Cariappa,2,7,0,0,28.57
2017,KD Karthik,361,268,30,11,134.7
2017,KH Pandya,243,186,24,7,130.65
2017,KK Nair,281,229,39,6,122.71
2017,KM Jadhav,267,194,25,10,137.63
2017,KS Williamson,256,170,20,10,150.59
2017,KV Sharma,49,42,5,2,116.67
2017,Kuldeep Yadav,20,22,2,0,90.91
2017,LH Ferguson,1,1,0,0,100.0
2017,LMP Simmons,137,116,10,8,118.1
2017,M Vohra,229,170,23,9,134.71
2017,MA Agarwal,26,29,3,0,89.66
2017,MC Henriques,277,205,28,4,135.12
2017,MG Johnson,20,17,1,1,117.65
2017,MJ Guptill,132,88,17,5,150.0
2017,MJ McClenaghan,16,16,0,1,100.0
2017,MK Pandey,396,315,28,12,125.71
2017,MK Tiwary,324,242,31,11,133.88
2017,MM Patel,0,1,0,0,0.0
2017,MM Sharma,51,51,4,1,100.0
2017,MN Samuels,29,32,1,2,90.62
2017,MP Stoinis,17,25,1,0,68.0
2017,MS Dhoni,290,261,15,16,111.11
2017,Mandeep Singh,188,178,21,4,105.62
2017,Mohammad Nabi,2,3,0,0,66.67
2017,Mohammed Shami,36,24,4,2,150.0
2017,N Rana,333,277,24,17,120.22
2017,NM Coulter-Nile,14,13,0,2,107.69
2017,NV Ojha,79,70,2,3,112.86
2017,P Kumar,8,9,0,0,88.89
2017,P Negi,144,114,10,7,126.32
2017,PA Patel,395,308,49,8,128.25
2017,PJ Cummins,77,54,5,4,142.59
2017,PJ Sangwan,2,4,0,0,50.0
2017,PP Chawla,2,6,0,0,33.33
2017,R Bhatia,16,17,0,1,94.12
2017,R Tewatia,19,11,4,0,172.73
2017,RA Jadeja,158,118,13,4,133.9
2017,RA Tripathi,391,275,43,17,142.18
2017,RD Chahar,3,2,0,0,150.0
2017,RG Sharma,333,278,31,9,119.78
2017,RR Pant,366,226,28,24,161.95
2017,RV Uthappa,388,239,36,21,162.34
2017,Rashid Khan,11,9,0,1,122.22
2017,S Aravind,32,40,2,0,80.0
2017,S Badree,13,25,0,0,52.0
2017,S Dhawan,479,383,53,9,125.07
2017,S Kaul,0,2,0,0,0.0
2017,S Nadeem,2,9,0,0,22.22
2017,SA Yadav,105,89,8,3,117.98
2017,SE Marsh,264,198,36,5,133.33
2017,SK Raina,442,310,42,13,142.58
2017,SL Malinga,7,3,0,1,233.33
2017,SN Thakur,0,3,0,0,0.0
2017,SP Jackson,38,31,5,0,122.58
2017,SP Narine,224,135,34,10,165.93
2017,SPD Smith,472,400,38,12,118.0
2017,SR Watson,71,80,6,1,88.75
2017,SS Iyer,338,249,36,10,135.74
2017,SS Tiwary,52,46,9,0,113.04
2017,STR Binny,78,77,6,3,101.3
2017,SV Samson,386,275,32,19,140.36
2017,SW Billings,138,107,19,1,128.97
2017,Sachin Baby,15,17,2,0,88.24
2017,Sandeep Sharma,7,7,0,0,100.0
2017,Shakib Al Hasan,1,1,0,0,100.0
2017,Swapnil Singh,12,19,0,0,63.16
2017,TA Boult,5,8,0,0,62.5
2017,TG Southee,7,3,0,1,233.33
2017,TM Head,151,109,9,6,138.53
2017,TS Mills,8,11,0,1,72.73
2017,UT Yadav,10,13,0,0,76.92
2017,V Kohli,308,257,23,11,119.84
2017,V Shankar,101,77,12,1,131.17
2017,VR Aaron,4,11,0,0,36.36
2017,Vishnu Vinod,19,26,1,1,73.08
2017,WP Saha,234,194,20,8,120.62
2017,Washington Sundar,9,12,0,0,75.0
2017,YK Pathan,143,123,9,6,116.26
2017,YS Chahal,13,26,0,0,50.0
2017,Yuvraj Singh,252,188,30,8,134.04
2017,Z Khan,4,13,0,0,30.77
2018,A Dananjaya,4,5,0,0,80.0
2018,A Mishra,1,2,0,0,50.0
2018,AB de Villiers,480,280,39,30,171.43
2018,AD Hales,148,119,13,6,124.37
2018,AD Nath,9,13,1,0,69.23
2018,AD Russell,316,179,17,31,176.54
2018,AJ Finch,134,102,6,8,131.37
2018,AJ Tye,32,40,2,1,80.0
2018,AM Rahane,370,321,39,5,115.26
2018,AR Patel,80,71,3,4,112.68
2018,AS Rajpoot,11,18,1,0,61.11
2018,AT Rayudu,602,410,53,34,146.83
2018,Abhishek Sharma,63,35,3,5,180.0
2018,Anureet Singh,3,4,0,0,75.0
2018,B Kumar,13,18,1,0,72.22
2018,B Laughlin,1,4,0,0,25.0
2018,B Stanlake,5,2,1,0,250.0
2018,BA Stokes,196,166,13,6,118.07
2018,BB McCullum,127,91,16,6,139.56
2018,BB Sran,3,7,0,0,42.86
2018,BCJ Cutting,96,59,5,8,162.71
2018,Basil Thampi,3,6,0,0,50.0
2018,C Munro,63,41,7,4,153.66
2018,C de Grandhomme,131,87,4,10,150.57
2018,CA Lynn,491,382,56,18,128.53
2018,CH Gayle,368,261,30,27,141.0
2018,CH Morris,46,26,3,2,176.92
2018,CJ Anderson,17,22,0,1,77.27
2018,CR Brathwaite,75,54,1,8,138.89
2018,CR Woakes,17,19,1,1,89.47
2018,DA Miller,74,66,3,2,112.12
2018,DJ Bravo,141,93,8,10,151.61
2018,DJ Hooda,87,86,2,3,101.16
2018,DJM Short,115,102,11,5,112.75
2018,DL Chahar,50,30,1,4,166.67
2018,DR Shorey,8,9,0,1,88.89
2018,DS Kulkarni,6,7,0,0,85.71
2018,DT Christian,26,33,0,1,78.79
2018,E Lewis,382,290,32,24,131.72
2018,F du Plessis,162,130,17,6,124.62
2018,G Gambhir,85,91,8,1,93.41
2018,GJ Maxwell,169,122,14,9,138.52
2018,H Klaasen,57,48,5,1,118.75
2018,HH Pandya,260,205,20,11,126.83
2018,HV Patel,60,33,1,6,181.82
2018,Harbhajan Singh,29,38,3,1,76.32
2018,IS Sodhi,1,6,0,0,16.67
2018,Imran Tahir,2,2,0,0,100.0
2018,Ishan Kishan,275,187,22,17,147.06
2018,JC Archer,15,21,2,0,71.43
2018,JC Buttler,548,365,52,21,150.14
2018,JD Unadkat,49,38,6,1,128.95
2018,JJ Bumrah,10,11,1,0,90.91
2018,JJ Roy,120,98,9,7,122.45
2018,JP Duminy,36,46,3,1,78.26
2018,JPR Scantlebury-Searles,8,6,0,1,133.33
2018,K Gowtham,126,67,9,9,188.06
2018,KA Pollard,133,104,10,7,127.88
2018,KD Karthik,498,349,49,16,142.69
2018,KH Pandya,228,164,22,10,139.02
2018,KK Nair,301,225,23,13,133.78
2018,KL Rahul,659,426,66,32,154.69
2018,KM Jadhav,24,23,1,2,104.35
2018,KS Williamson,735,522,64,28,140.8
2018,Kuldeep Yadav,12,25,1,0,48.0
2018,LE Plunkett,1,3,0,0,33.33
2018,M Ashwin,1,2,0,0,50.0
2018,M Markande,21,25,2,0,84.0
2018,M Prasidh Krishna,1,5,0,0,20.0
2018,M Vijay,12,11,0,1,109.09
2018,M Vohra,55,50,2,4,110.0
2018,MA Agarwal,120,94,9,5,127.66
2018,MA Wood,1,5,0,0,20.0
2018,MG Johnson,16,11,2,0,145.45
2018,MJ McClenaghan,11,12,1,1,91.67
2018,MK Lomror,20,21,1,0,95.24
2018,MK Pandey,284,257,22,5,110.51
2018,MK Tiwary,47,45,4,1,104.44
2018,MM Ali,77,46,4,6,167.39
2018,MM Sharma,10,14,1,0,71.43
2018,MP Stoinis,99,78,6,4,126.92
2018,MS Dhoni,455,321,24,30,141.74
2018,Mandeep Singh,252,193,16,11,130.57
2018,Mohammad Nabi,18,12,3,0,150.0
2018,Mohammed Shami,7,6,1,0,116.67
2018,Mohammed Siraj,25,23,2,1,108.7
2018,Mujeeb Ur Rahman,10,7,2,0,142.86
2018,Mustafizur Rahman,1,3,0,0,33.33
2018,N Rana,304,238,26,14,127.73
2018,NV Ojha,1,4,0,0,25.0
2018,P Chopra,8,6,2,0,133.33
2018,P Negi,3,5,0,0,60.0
2018,PA Patel,153,109,20,4,140.37
2018,PJ Sangwan,0,5,0,0,0.0
2018,PP Chawla,27,36,1,1,75.0
2018,PP Shaw,245,165,27,10,148.48
2018,Q de Kock,201,164,20,8,122.56
2018,R Ashwin,102,76,7,5,134.21
2018,R Tewatia,50,47,5,1,106.38
2018,R Vinay Kumar,6,4,1,0,150.0
2018,RA Jadeja,89,80,3,4,111.25
2018,RA Tripathi,226,173,18,8,130.64
2018,RG Sharma,286,223,25,12,128.25
2018,RK Bhui,0,5,0,0,0.0
2018,RK Singh,29,34,4,0,85.29
2018,RR Pant,684,412,68,37,166.02
2018,RV Uthappa,351,274,30,21,128.1
2018,Rashid Khan,59,32,3,6,184.38
2018,S Dhawan,497,379,59,14,131.13
2018,S Gopal,50,47,5,0,106.38
2018,S Kaul,3,14,0,0,21.43
2018,S Nadeem,6,8,0,0,75.0
2018,SA Yadav,512,391,61,16,130.95
2018,SK Raina,445,354,46,12,125.71
2018,SN Khan,51,43,7,1,118.6
2018,SN Thakur,15,5,3,0,300.0
2018,SP Goswami,52,42,6,1,123.81
2018,SP Narine,357,198,40,23,180.3
2018,SR Watson,555,368,44,35,150.82
2018,SS Iyer,411,317,29,21,129.65
2018,STR Binny,44,39,2,2,112.82
